"id","landuse","blue","green","p_application","n_application","Emissions (CH4) (Enteric)","Emissions (CH4) (Rice cultivation)","Emissions (CH4) (Burning crop residues)","Emissions (CH4) (Manure management)","Direct emissions (CH4) (On farm - Energy use)","Direct emissions (CH4) (Food - Energy use)","Emissions (CH4) (Savanna fires)","Emissions (CO2) (Drained organic soils (CO2))","Direct emissions (CO2) (On farm - Energy use)","Direct emissions (CO2) (Food - Energy use)","Direct emissions (N2O) (On farm - Energy use)","Direct emissions (N2O) (Food - Energy use)","Direct emissions (N2O) (Manure management)","Indirect emissions (N2O) (Manure management)","Emissions (N2O) (Savanna fires)","Direct emissions (N2O) (Crop residues)","Indirect emissions (N2O) (Crop residues)","Emissions (N2O) (Burning crop residues)","Direct emissions (N2O) (Manure on pasture)","Indirect emissions (N2O that leaches) (Manure on pasture)","Indirect emissions (N2O that volatilises) (Manure on pasture)","Emissions (N2O) (Drained organic soils (N2O))","Direct emissions (N2O) (Manure applied)","Indirect emissions (N2O) (Manure applied)","Direct emissions (N2O) (Synthetic fertilizers)","Indirect emissions (N2O that leaches) (Synthetic fertilizers)"
"63_c065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c071",0,0,0,0,0,0,0,0,0,0,1.1276748060131,0,0,0,6711.13756439693,0,0.032267463373366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c079",0,0,0,0,0,0,0,0,0,0,0.0677580952932256,0,0,0,403.249142562711,0,0.00193884074244167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c084",0,0,0,0,0,0,0,0,0,0,2.22318491641626,0,0,0,13230.8531906569,0,0.063614561112974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c091",0,0,0,0,0,0,0,0,0,0,11.8171902806047,0,0,0,70327.7125416879,0,0.338138932006149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c093",0,0,0,0,0,0,0,0,0,0,1.31782696731006,0,0,0,7842.79121651948,0,0.0377085070743502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c096",0,29,0,0,0,9812.53561066916,0,0,1032.8984853336,17.703100419703,0,4.05856579242312,412584.909868196,12985.0806550702,0,0.2456568548166,0,45.3450742555969,23.9994286136492,0.386530075468868,0,0,0,87.5748380661527,9.80745880846243,8.76902199344876,377.378124764878,0,0,0,0
"63_c097",0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c098",0,2,0,0,0,520.71375701967,0,0,12.3737318562617,0.380613230764995,0,1.24091482620373,126148.683527365,279.176719484102,0,0.00528157480636842,0,1.2712738208488,0,0.118182364400356,0,0,0,13.3907509129407,3.05105717003713,2.71205081781078,115.384136677038,0,0,0,0
"63_c099",0,2,0,0,0,19.6430358632193,0,0,0.512427022518766,0.0084496767592586,0,0.0987946732603735,10043.2501152712,6.19776940914431,0,0.000117251835423482,0,0,0,0.00940901650098795,0,0,0,1.02485404503753,0.256213511259383,0.170809007506255,9.18623731599021,0,0,0,0
"63_c100",0,5,0,0,0,503.830466831644,0,0,2115.87306943284,11.4577066314835,0,0,0,8404.13493708478,0,0.158992724877102,0,13.7888558542871,16.7436106802057,0,0,0,0,0,0,0,0,0,0,0,0
"63_c101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c102",0,15,0,0,0,725.4,0,0,63.05,0.172405269349886,0,2.01578388606704,204920.175126737,126.457867536907,0,0.00239237959556308,0,0.65,0,0.19197941772067,0,0,0,21.45,5.2,4.55,187.43388225353,0,0,0,0
"63_c103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c109",0,0,0,0,0,11472.7397587204,0,0,2059.20970028316,24.6510007618558,0,3.00231845548143,305209.118862373,18081.3092357901,0,0.342069308294683,0,59.1587202363913,41.8365607151192,0.285935090998232,0,0,0,64.8314742316617,7.29354085106195,6.48314742316617,279.164948069037,0,0,0,0
"63_c110",0,0,0,0,0,73.0244582067361,0,0,13.1069540371065,0.156904628950559,0,0.0191098798705836,1942.66853545067,115.088273453462,0,0.00217728515007806,0,0.376547675997156,0.266291421552783,0.0018199885591032,0,0,0,0.412654987394143,0.0464236860818411,0.0412654987394143,1.77689632221961,0,0,0,0
"63_c111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c113",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c114",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c115",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c116",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c117",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c121",0,0,0,0,0,0,0,0,0,0,0.0891925336771379,0,0,0,530.812039102544,0,0.00255216911671549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c123",0,0,0,0,0,0,0,0,0,6.34735142044167,0,0,0,47090.1214478804,0,0.3808410852265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63_c138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c001",2650.6160280321,0,2199,0,6.36147846727704,0,407.295589988081,4.33005278392644,0,0.000967894190774524,0,0,1209.26951191218,7.17209595363922,0,5.80736514464714e-05,0,0,0,0,2.02971224246552,0.405942448493104,0.135314149497701,0,0,0,0.536640235875332,0,0,1.14873463882515,0.258120476305479
"66_c002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c004",3122.06572769953,0,1655,0,27.7863849765258,0,0,2.60067204301075,0,0.000617545585694051,0,0,405.867603411409,4.57601278999292,0,3.7052735141643e-05,0,0,0,0,0.236424731182796,0,0,0,0,0,0.180112774103141,0,0,0.38555026007262,0.0866330773061978
"66_c005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c008",2916.66666666667,66,1088,0,4.66666666666667,0,0,0,0,2.00605173950055e-06,0,0,2.90964142702506,0.0148648433896991,0,1.20363104370033e-07,0,0,0,0,0,0,0,0,0,0,0.00129121808358695,0,0,0.00276398756510372,0.000621067531781454
"66_c009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c011",500.069550702462,0,386,0,0.0500069550702462,0,0,0,0,0.00161852993556282,0,0,3025.75359240894,11.9933068225205,0,9.71117961337692e-05,0,0,0,0,0,0,0,0,0,0,1.34274543890832,0,0,2.87428726674305,0.64585185582048
"66_c012",1219.58959170721,0,684,0,10.1225936111699,0,0,0,0,0.00192862604797845,0,0,3605.46139114506,14.2911190155203,0,0.000115717562878707,0,0,0,0,0,0,0,0,0,0,1.60000366529046,0,0,3.42497544852996,0.769591395810334
"66_c013",986.589042520012,10,1471,0,1.57854246803202,0,0,0,0,0.00116867470738641,0,0,2184.77373605218,8.65987958173327,0,7.01204824431844e-05,0,0,0,0,0,0,0,0,0,0,0.969541927171667,0,0,2.07540605619836,0.466343384840454
"66_c014",525.418915080943,0,445,0,0,0,0,0,0,0.00112222289478405,0,0,2097.93460149727,8.3156716503498,0,6.73333736870429e-05,0,0,0,0,0,0,0,0,0,0,0.931005130211435,0,0,1.99291400551307,0.447807435201051
"66_c015",220.162224797219,0,234,0,1.84936268829664,0,0,0,0,0.00717482351255024,0,0,14371.009197692,53.1654422279973,0,0.000430489410753014,0,0,0,0,0,0,0,0,0,0,6.37745489293052,0,0,13.6516102470484,3.06751448089768
"66_c016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c019",3332.10603829161,0,4436,0,0.999631811487482,0,0,0,0,0.00043407963403961,0,0,2355.93360590091,3.21653008823351,0,2.60447780423766e-05,0,0,0,0,0,0,0,0,0,0,1.04549792541954,0,0,2.23799782696179,0.502877727842187
